ID,smiles,IC50,IC50_units,pIC50
BCRP_0825,CC1CN(C(=O)OC(C)(C)C)CCN1c1cc(-c2ccco2)nc2cc(-c3ccccc3)nn12,0.00000344,uM,11.46344156
BCRP_0826,COc1cc(/C=C/C(=O)OCCCN(C)C[C@H](C)COC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,6.4,uM,5.193820026
BCRP_0827,COc1cc(/C=C/C(=O)OC[C@@H](C)CN(C)CCCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.2,uM,5.37675071
BCRP_0828,COc1cc(/C=C/C(=O)OC[C@@H](C)CN(C)CCCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,4.7,uM,5.327902142
BCRP_0829,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1,0.41,uM,6.387216143
BCRP_0830,COc1cc(/C=C/C(=O)OCCCCCCN(C)CCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,3.8,uM,5.420216403
BCRP_0831,COc1cc(/C=C/C(=O)OCCCCCCCCN(C)CCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,3.8,uM,5.420216403
BCRP_0832,Cc1cc(C)n(-c2ccc(Cl)c(C(=O)Nc3cc(C(F)(F)F)ccc3Cl)n2)n1,0.24,uM,6.619788758
BCRP_0833,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,0.104,uM,6.982966661
BCRP_0834,CC(=O)N1CCN(c2cc(C)nc3cc(-c4cccc(F)c4)nn23)CC1,0.00002338,uM,10.63115549
BCRP_0835,O=C(c1ccoc1)N1CCN(c2cc(-c3cccc(F)c3)nc3cc(-c4cccc(Cl)c4)nn23)CC1,0.0000023,uM,11.63827216
BCRP_0836,Cc1nc2cc(-c3ccc(F)cc3)nn2c(N2CCN(C(=O)c3ccco3)CC2)c1C,0.00000764,uM,11.11690664
BCRP_0837,O=C(c1ccsc1)N1CCN(c2cc(-c3ccco3)nc3cc(-c4ccccc4)nn23)CC1,0.00000287,uM,11.5421181
BCRP_0838,CCCCNC(=O)Nc1ccc(-c2ccc(CN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1,46,uM,4.337242168
BCRP_0839,COc1cc(/C=C/C(=O)OC[C@@H](C)CN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,3.7,uM,5.431798276
